,X,Y,click
0,431,20,0
1,427,28,0
2,423,35,0
3,419,41,0
4,415,46,0
5,411,50,0
6,407,53,0
7,403,55,0
8,399,56,0
9,395,56,0
10,391,55,0
11,387,53,0
12,383,50,0
13,379,46,0
14,375,41,0
15,371,35,0
16,367,28,0
17,363,20,1
18,363,20,0
19,359,29,0
20,355,37,0
21,351,44,0
22,347,50,0
23,343,55,0
24,339,59,0
25,335,62,0
26,331,64,0
27,327,65,0
28,323,65,0
29,319,64,0
30,315,62,0
31,311,59,0
32,307,55,0
33,303,50,0
34,299,44,0
35,295,37,1
36,295,37,0
37,291,46,0
38,287,54,0
39,283,61,0
40,279,67,0
41,275,72,0
42,271,76,0
43,267,79,0
44,263,81,0
45,259,82,0
46,255,82,0
47,251,81,0
48,247,79,0
49,243,76,0
50,239,72,0
51,235,67,0
52,231,61,0
53,227,54,0
54,223,46,0
55,219,37,1
56,219,37,0
57,215,46,0
58,211,54,0
59,207,61,0
60,203,67,0
61,199,72,0
62,195,76,0
63,191,79,0
64,187,81,0
65,183,82,0
66,179,82,0
67,175,81,0
68,171,79,0
69,167,76,0
70,163,72,0
71,159,67,0
72,155,61,0
73,151,54,0
74,147,46,1
75,147,46,0
76,143,55,0
77,139,63,0
78,135,70,0
79,131,76,0
80,127,81,0
81,123,85,0
82,119,88,0
83,115,90,0
84,111,91,0
85,107,91,0
86,103,90,0
87,99,88,0
88,95,85,0
89,91,81,0
90,87,76,0
91,83,70,0
92,79,63,0
93,75,55,0
94,71,46,0
95,67,36,0
96,63,26,1
97,63,26,0
98,59,35,0
99,55,43,0
100,51,50,0
101,47,56,0
102,43,61,0
103,39,65,0
104,35,68,0
105,31,70,0
106,27,71,0
107,23,71,0
108,19,70,0
109,15,68,0
110,11,65,0
111,7,61,0
112,3,56,0
113,143,2,1
114,143,2,0
115,139,11,0
116,135,19,0
117,131,26,0
118,127,32,0
119,123,37,0
120,119,41,0
121,115,44,0
122,111,46,0
123,107,47,0
124,103,47,0
125,99,46,0
126,95,44,0
127,91,41,0
128,87,37,0
129,83,32,0
130,79,26,1
131,79,26,0
132,75,35,0
133,71,43,0
134,67,50,0
135,63,56,0
136,59,61,0
137,55,65,0
138,51,68,0
139,47,70,0
140,43,71,0
141,39,71,0
142,35,70,0
143,31,68,0
144,27,65,0
145,23,61,1
146,23,61,0
147,19,70,0
148,15,78,0
149,11,85,0
150,7,91,0
151,3,96,0
152,149,182,0
153,145,185,0
154,141,187,0
155,137,188,0
156,133,188,0
157,129,187,0
158,125,185,0
159,121,182,0
160,117,178,0
161,113,173,0
162,109,167,0
163,105,160,0
164,101,152,0
165,97,143,0
166,93,133,0
167,89,123,0
168,85,113,0
169,81,103,0
170,77,93,0
171,73,83,0
172,69,73,0
173,65,63,1
174,65,63,0
175,61,72,0
176,57,80,0
177,53,87,0
178,49,93,0
179,45,98,0
180,41,102,0
181,37,105,0
182,33,107,0
183,29,108,0
184,25,108,0
185,21,107,0
186,17,105,0
187,13,102,0
188,9,98,0
189,5,93,0
190,1,87,0
191,141,68,0
192,137,60,0
193,133,51,0
194,129,41,1
195,129,41,0
196,125,50,0
197,121,58,0
198,117,65,0
199,113,71,0
200,109,76,0
201,105,80,0
202,101,83,0
203,97,85,0
204,93,86,0
205,89,86,0
206,85,85,0
207,81,83,0
208,77,80,0
209,73,76,0
210,69,71,0
211,65,65,0
212,61,58,0
213,57,50,1
214,57,50,0
215,53,59,0
216,49,67,0
217,45,74,0
218,41,80,0
219,37,85,0
220,33,89,0
221,29,92,0
222,25,94,0
223,21,95,0
224,17,95,0
225,13,94,0
226,9,92,0
227,5,89,0
228,1,85,0
229,149,57,0
230,145,51,0
231,141,44,0
232,137,36,0
233,133,27,1
234,133,27,0
235,129,36,0
236,125,44,0
237,121,51,0
238,117,57,0
239,113,62,0
240,109,66,0
241,105,69,0
242,101,71,0
243,97,72,0
244,93,72,0
245,89,71,0
246,85,69,0
247,81,66,0
248,77,62,0
249,73,57,0
250,69,51,0
251,65,44,0
252,61,36,1
253,61,36,0
254,57,45,0
255,53,53,0
256,49,60,0
257,45,66,0
258,41,71,0
259,37,75,0
260,33,78,0
261,29,80,0
262,25,81,0
263,21,81,0
264,17,80,0
265,13,78,0
266,9,75,0
267,5,71,0
268,1,66,0
269,141,100,1
270,141,100,0
271,137,109,0
272,133,117,0
273,129,124,0
274,125,130,0
275,121,135,0
276,117,139,0
277,113,142,0
278,109,144,0
279,105,145,0
280,101,145,0
281,97,144,0
282,93,142,0
283,89,139,0
284,85,135,0
285,81,130,0
286,77,124,0
287,73,117,0
288,69,109,0
289,65,100,0
290,61,90,0
291,57,80,0
292,53,70,0
293,49,60,1
294,49,60,0
295,45,69,0
296,41,77,0
297,37,84,0
298,33,90,0
299,29,95,0
300,25,99,0
301,21,102,0
302,17,104,0
303,13,105,0
304,9,105,0
305,5,104,0
306,1,102,0
307,149,96,0
308,145,92,0
309,141,87,0
310,137,81,0
311,133,74,0
312,129,66,0
313,125,57,1
314,125,57,0
315,121,66,0
316,117,74,0
317,113,81,0
318,109,87,0
319,105,92,0
320,101,96,0
321,97,99,0
322,93,101,0
323,89,102,0
324,85,102,0
325,81,101,0
326,77,99,0
327,73,96,0
328,69,92,0
329,65,87,0
330,61,81,0
331,57,74,0
332,53,66,0
333,49,57,1
334,49,57,0
335,45,66,0
336,41,74,0
337,37,81,0
338,33,87,0
339,29,92,0
340,25,96,0
341,21,99,0
342,17,101,0
343,13,102,0
344,9,102,0
345,5,101,0
346,1,99,0
347,141,31,0
348,137,27,0
349,133,22,0
350,129,16,0
351,125,9,0
352,121,1,0
353,117,-8,0
354,113,-18,0
355,109,-28,1
356,109,-28,0
357,105,-19,0
358,101,-11,0
359,97,-4,0
360,93,2,0
361,89,7,0
362,85,11,0
363,81,14,0
364,77,16,1
365,77,16,0
366,73,25,0
367,69,33,0
368,65,40,0
369,61,46,0
370,57,51,0
371,53,55,0
372,49,58,0
373,45,60,0
374,41,61,0
375,37,61,0
376,33,60,0
377,29,58,1
378,29,58,0
379,25,67,0
380,21,75,0
381,17,82,0
382,13,88,0
383,9,93,0
384,5,97,0
385,1,100,0
386,149,132,0
387,145,133,0
388,141,133,0
389,137,132,0
390,133,130,0
391,129,127,0
392,125,123,0
393,121,118,0
394,117,112,0
395,113,105,0
396,109,97,0
397,105,88,0
398,101,78,0
399,97,68,0
400,93,58,0
401,89,48,0
402,85,38,1
403,85,38,0
404,81,47,0
405,77,55,0
406,73,62,0
407,69,68,0
408,65,73,0
409,61,77,0
410,57,80,0
411,53,82,0
412,49,83,0
413,45,83,0
414,41,82,0
415,37,80,0
416,33,77,0
417,29,73,0
418,25,68,0
419,21,62,0
420,17,55,0
421,13,47,1
422,13,47,0
423,9,56,0
424,5,64,0
425,1,71,0
426,141,73,0
427,137,78,0
428,133,82,0
429,129,85,0
430,125,87,0
431,121,88,0
432,117,88,0
433,113,87,0
434,109,85,0
435,105,82,0
436,101,78,0
437,97,73,0
438,93,67,0
439,89,60,0
440,85,52,0
441,81,43,0
442,77,33,1
443,77,33,0
444,73,42,0
445,69,50,0
446,65,57,0
447,61,63,0
448,57,68,0
449,53,72,0
450,49,75,0
451,45,77,0
452,41,78,0
453,37,78,0
454,33,77,0
455,29,75,0
456,25,72,0
457,21,68,1
458,21,68,0
459,17,77,0
460,13,85,0
461,9,92,0
462,5,98,0
463,1,103,0
464,149,131,0
465,145,134,0
466,141,136,0
467,137,137,0
468,133,137,0
469,129,136,0
470,125,134,0
471,121,131,0
472,117,127,0
473,113,122,0
474,109,116,0
475,105,109,0
476,101,101,0
477,97,92,0
478,93,82,0
479,89,72,0
480,85,62,0
481,81,52,0
482,77,42,1
483,77,42,0
484,73,51,0
485,69,59,0
486,65,66,0
487,61,72,0
488,57,77,0
489,53,81,0
490,49,84,0
491,45,86,0
492,41,87,0
493,37,87,0
494,33,86,0
495,29,84,0
496,25,81,0
497,21,77,0
498,17,72,0
499,13,66,0
500,9,59,0
501,5,51,1
502,5,51,0
503,1,60,0
