,X,Y,click
0,431,-26,0
1,427,-18,0
2,423,-11,0
3,419,-5,0
4,415,0,0
5,411,4,0
6,407,7,0
7,403,9,0
8,399,10,0
9,395,10,0
10,391,9,0
11,387,7,0
12,383,4,0
13,379,0,0
14,375,-5,0
15,371,-11,0
16,367,-18,0
17,363,-26,0
18,359,-35,0
19,355,-45,0
20,351,-55,0
21,347,-65,1
22,347,-65,0
23,343,-56,0
24,339,-48,0
25,335,-41,0
26,331,-35,0
27,327,-30,0
28,323,-26,0
29,319,-23,0
30,315,-21,0
31,311,-20,0
32,307,-20,0
33,303,-21,0
34,299,-23,0
35,295,-26,0
36,291,-30,0
37,287,-35,1
38,287,-35,0
39,283,-26,0
40,279,-18,0
41,275,-11,0
42,271,-5,0
43,267,0,0
44,263,4,0
45,259,7,0
46,255,9,0
47,251,10,0
48,247,10,0
49,243,9,0
50,239,7,0
51,235,4,0
52,231,0,0
53,227,-5,0
54,223,-11,0
55,219,-18,0
56,215,-26,0
57,211,-35,1
58,211,-35,0
59,207,-26,0
60,203,-18,0
61,199,-11,0
62,195,-5,0
63,191,0,0
64,187,4,0
65,183,7,0
66,179,9,0
67,175,10,0
68,171,10,0
69,167,9,0
70,163,7,0
71,159,4,0
72,155,0,0
73,151,-5,0
74,147,-11,0
75,143,-18,0
76,139,-26,1
77,139,-26,0
78,135,-17,0
79,131,-9,0
80,127,-2,0
81,123,4,0
82,119,9,0
83,115,13,0
84,111,16,0
85,107,18,0
86,103,19,0
87,99,19,0
88,95,18,0
89,91,16,1
90,91,16,0
91,87,25,0
92,83,33,0
93,79,40,0
94,75,46,0
95,71,51,0
96,67,55,0
97,63,58,0
98,59,60,0
99,55,61,0
100,51,61,0
101,47,60,0
102,43,58,0
103,39,55,1
104,39,55,0
105,35,64,0
106,31,72,0
107,27,79,0
108,23,85,0
109,19,90,0
110,15,94,0
111,11,97,0
112,7,99,0
113,3,100,0
114,143,107,0
115,139,106,0
116,135,104,0
117,131,101,0
118,127,97,0
119,123,92,0
120,119,86,0
121,115,79,0
122,111,71,0
123,107,62,0
124,103,52,1
125,103,52,0
126,99,61,0
127,95,69,0
128,91,76,0
129,87,82,0
130,83,87,0
131,79,91,0
132,75,94,0
133,71,96,0
134,67,97,0
135,63,97,0
136,59,96,0
137,55,94,0
138,51,91,0
139,47,87,0
140,43,82,0
141,39,76,0
142,35,69,0
143,31,61,0
144,27,52,0
145,23,42,1
146,23,42,0
147,19,51,0
148,15,59,0
149,11,66,0
150,7,72,0
151,3,77,0
152,149,144,0
153,145,147,0
154,141,149,0
155,137,150,0
156,133,150,0
157,129,149,0
158,125,147,0
159,121,144,0
160,117,140,0
161,113,135,0
162,109,129,0
163,105,122,1
164,105,122,0
165,101,131,0
166,97,139,0
167,93,146,0
168,89,152,0
169,85,157,0
170,81,161,0
171,77,164,0
172,73,166,0
173,69,167,0
174,65,167,0
175,61,166,0
176,57,164,0
177,53,161,0
178,49,157,0
179,45,152,0
180,41,146,0
181,37,139,0
182,33,131,0
183,29,122,0
184,25,112,0
185,21,102,0
186,17,92,0
187,13,82,0
188,9,72,0
189,5,62,0
190,1,52,1
191,1,52,0
192,141,5,0
193,137,13,0
194,133,20,0
195,129,26,0
196,125,31,0
197,121,35,0
198,117,38,0
199,113,40,0
200,109,41,0
201,105,41,0
202,101,40,0
203,97,38,0
204,93,35,0
205,89,31,0
206,85,26,0
207,81,20,0
208,77,13,0
209,73,5,1
210,73,5,0
211,69,14,0
212,65,22,0
213,61,29,0
214,57,35,0
215,53,40,0
216,49,44,0
217,45,47,0
218,41,49,0
219,37,50,0
220,33,50,0
221,29,49,0
222,25,47,0
223,21,44,1
224,21,44,0
225,17,53,0
226,13,61,0
227,9,68,0
228,5,74,0
229,1,79,0
230,149,152,0
231,145,155,0
232,141,157,0
233,137,158,0
234,133,158,0
235,129,157,0
236,125,155,0
237,121,152,0
238,117,148,0
239,113,143,0
240,109,137,0
241,105,130,0
242,101,122,0
243,97,113,0
244,93,103,0
245,89,93,0
246,85,83,0
247,81,73,0
248,77,63,1
249,77,63,0
250,73,72,0
251,69,80,0
252,65,87,0
253,61,93,0
254,57,98,0
255,53,102,0
256,49,105,0
257,45,107,0
258,41,108,0
259,37,108,0
260,33,107,0
261,29,105,0
262,25,102,0
263,21,98,0
264,17,93,0
265,13,87,0
266,9,80,0
267,5,72,0
268,1,63,0
269,141,-12,0
270,137,-22,0
271,133,-32,1
272,133,-32,0
273,129,-23,0
274,125,-15,0
275,121,-8,0
276,117,-2,0
277,113,3,0
278,109,7,0
279,105,10,0
280,101,12,0
281,97,13,0
282,93,13,0
283,89,12,0
284,85,10,0
285,81,7,1
286,81,7,0
287,77,16,0
288,73,24,0
289,69,31,0
290,65,37,0
291,61,42,0
292,57,46,0
293,53,49,0
294,49,51,0
295,45,52,0
296,41,52,0
297,37,51,0
298,33,49,0
299,29,46,0
300,25,42,0
301,21,37,0
302,17,31,1
303,17,31,0
304,13,40,0
305,9,48,0
306,5,55,0
307,1,61,0
308,149,113,0
309,145,117,0
310,141,120,0
311,137,122,0
312,133,123,0
313,129,123,0
314,125,122,0
315,121,120,0
316,117,117,0
317,113,113,0
318,109,108,0
319,105,102,0
320,101,95,0
321,97,87,1
322,97,87,0
323,93,96,0
324,89,104,0
325,85,111,0
326,81,117,0
327,77,122,0
328,73,126,0
329,69,129,0
330,65,131,0
331,61,132,0
332,57,132,0
333,53,131,0
334,49,129,0
335,45,126,0
336,41,122,0
337,37,117,0
338,33,111,0
339,29,104,0
340,25,96,0
341,21,87,0
342,17,77,0
343,13,67,0
344,9,57,1
345,9,57,0
346,5,66,0
347,1,74,0
348,141,26,0
349,137,32,0
350,133,37,0
351,129,41,0
352,125,44,0
353,121,46,0
354,117,47,0
355,113,47,0
356,109,46,0
357,105,44,0
358,101,41,0
359,97,37,0
360,93,32,0
361,89,26,0
362,85,19,0
363,81,11,1
364,81,11,0
365,77,20,0
366,73,28,0
367,69,35,0
368,65,41,0
369,61,46,0
370,57,50,0
371,53,53,0
372,49,55,0
373,45,56,0
374,41,56,0
375,37,55,0
376,33,53,0
377,29,50,0
378,25,46,1
379,25,46,0
380,21,55,0
381,17,63,0
382,13,70,0
383,9,76,0
384,5,81,0
385,1,85,0
386,149,121,0
387,145,123,0
388,141,124,0
389,137,124,0
390,133,123,0
391,129,121,0
392,125,118,0
393,121,114,0
394,117,109,0
395,113,103,0
396,109,96,0
397,105,88,0
398,101,79,0
399,97,69,0
400,93,59,0
401,89,49,1
402,89,49,0
403,85,58,0
404,81,66,0
405,77,73,0
406,73,79,0
407,69,84,0
408,65,88,0
409,61,91,0
410,57,93,0
411,53,94,0
412,49,94,0
413,45,93,0
414,41,91,0
415,37,88,0
416,33,84,0
417,29,79,0
418,25,73,0
419,21,66,0
420,17,58,0
421,13,49,1
422,13,49,0
423,9,58,0
424,5,66,0
425,1,73,0
426,141,78,0
427,137,83,0
428,133,87,0
429,129,90,0
430,125,92,0
431,121,93,0
432,117,93,0
433,113,92,0
434,109,90,0
435,105,87,0
436,101,83,0
437,97,78,0
438,93,72,0
439,89,65,0
440,85,57,0
441,81,48,0
442,77,38,1
443,77,38,0
444,73,47,0
445,69,55,0
446,65,62,0
447,61,68,0
448,57,73,0
449,53,77,0
450,49,80,0
451,45,82,0
452,41,83,0
453,37,83,0
454,33,82,0
455,29,80,0
456,25,77,0
457,21,73,0
458,17,68,0
459,13,62,0
460,9,55,1
461,9,55,0
462,5,64,0
463,1,72,0
464,149,66,0
465,145,72,0
466,141,77,0
467,137,81,0
468,133,84,0
469,129,86,0
470,125,87,0
471,121,87,0
472,117,86,0
473,113,84,0
474,109,81,0
475,105,77,0
476,101,72,0
477,97,66,0
478,93,59,0
479,89,51,0
480,85,42,0
481,81,32,0
482,77,22,1
483,77,22,0
484,73,31,0
485,69,39,0
486,65,46,0
487,61,52,0
488,57,57,0
489,53,61,0
490,49,64,0
491,45,66,0
492,41,67,0
493,37,67,0
494,33,66,0
495,29,64,0
496,25,61,0
497,21,57,0
498,17,52,1
499,17,52,0
500,13,61,0
501,9,69,0
502,5,76,0
503,1,82,0
504,141,61,0
505,137,65,0
506,133,68,0
507,129,70,0
508,125,71,0
509,121,71,0
510,117,70,0
511,113,68,0
512,109,65,0
513,105,61,0
514,101,56,0
515,97,50,0
516,93,43,0
517,89,35,0
518,85,26,1
519,85,26,0
520,81,35,0
521,77,43,0
522,73,50,0
523,69,56,0
524,65,61,0
525,61,65,0
526,57,68,0
527,53,70,0
528,49,71,0
529,45,71,0
530,41,70,0
531,37,68,0
532,33,65,0
533,29,61,0
534,25,56,0
535,21,50,1
536,21,50,0
537,17,59,0
538,13,67,0
539,9,74,0
540,5,80,0
541,1,85,0
542,149,137,0
543,145,140,0
544,141,142,0
545,137,143,0
546,133,143,0
547,129,142,0
548,125,140,0
549,121,137,0
550,117,133,0
551,113,128,0
552,109,122,0
553,105,115,0
554,101,107,0
555,97,98,0
556,93,88,0
557,89,78,0
558,85,68,0
559,81,58,0
560,77,48,1
561,77,48,0
562,73,57,0
563,69,65,0
564,65,72,0
565,61,78,0
566,57,83,0
567,53,87,0
