,X,Y,click
0,431,1,0
1,427,9,0
2,423,16,0
3,419,22,0
4,415,27,0
5,411,31,0
6,407,34,0
7,403,36,0
8,399,37,0
9,395,37,0
10,391,36,0
11,387,34,0
12,383,31,0
13,379,27,0
14,375,22,0
15,371,16,0
16,367,9,0
17,363,1,0
18,359,-8,1
19,359,-8,0
20,355,1,0
21,351,9,0
22,347,16,0
23,343,22,0
24,339,27,0
25,335,31,0
26,331,34,0
27,327,36,0
28,323,37,0
29,319,37,0
30,315,36,0
31,311,34,0
32,307,31,0
33,303,27,0
34,299,22,0
35,295,16,1
36,295,16,0
37,291,25,0
38,287,33,0
39,283,40,0
40,279,46,0
41,275,51,0
42,271,55,0
43,267,58,0
44,263,60,0
45,259,61,0
46,255,61,0
47,251,60,0
48,247,58,0
49,243,55,0
50,239,51,0
51,235,46,0
52,231,40,0
53,227,33,0
54,223,25,0
55,219,16,1
56,219,16,0
57,215,25,0
58,211,33,0
59,207,40,0
60,203,46,0
61,199,51,0
62,195,55,0
63,191,58,0
64,187,60,0
65,183,61,0
66,179,61,0
67,175,60,0
68,171,58,0
69,167,55,0
70,163,51,0
71,159,46,0
72,155,40,0
73,151,33,1
74,151,33,0
75,147,42,0
76,143,50,0
77,139,57,0
78,135,63,0
79,131,68,0
80,127,72,0
81,123,75,0
82,119,77,0
83,115,78,0
84,111,78,0
85,107,77,0
86,103,75,0
87,99,72,0
88,95,68,0
89,91,63,0
90,87,57,0
91,83,50,0
92,79,42,0
93,75,33,0
94,71,23,1
95,71,23,0
96,67,32,0
97,63,40,0
98,59,47,0
99,55,53,0
100,51,58,0
101,47,62,0
102,43,65,0
103,39,67,0
104,35,68,0
105,31,68,0
106,27,67,0
107,23,65,0
108,19,62,0
109,15,58,1
110,15,58,0
111,11,67,0
112,7,75,0
113,3,82,0
114,143.0,131.0,0.0
115,139.0,136.0,0.0
116,135.0,140.0,0.0
117,131.0,143.0,0.0
118,127.0,145.0,0.0
119,123.0,146.0,0.0
120,119.0,146.0,0.0
121,115.0,145.0,0.0
122,111.0,143.0,0.0
123,107.0,140.0,0.0
124,103.0,136.0,0.0
125,99.0,131.0,0.0
126,95.0,125.0,0.0
127,91.0,118.0,0.0
128,87.0,110.0,0.0
129,83.0,101.0,0.0
130,79.0,91.0,0.0
131,75.0,81.0,0.0
132,71.0,71.0,1.0
133,71.0,71.0,0.0
134,67.0,80.0,0.0
135,63.0,88.0,0.0
136,59.0,95.0,0.0
137,55.0,101.0,0.0
138,51.0,106.0,0.0
139,47.0,110.0,0.0
140,43.0,113.0,0.0
141,39.0,115.0,0.0
142,35.0,116.0,0.0
143,31.0,116.0,0.0
144,27.0,115.0,0.0
145,23.0,113.0,0.0
146,19.0,110.0,0.0
147,15.0,106.0,0.0
148,11.0,101.0,0.0
149,7.0,95.0,0.0
150,3.0,88.0,0.0
151,149,20,0
152,145,11,0
153,141,1,1
154,141,1,0
155,137,10,0
156,133,18,0
157,129,25,0
158,125,31,0
159,121,36,0
160,117,40,0
161,113,43,0
162,109,45,0
163,105,46,0
164,101,46,0
165,97,45,0
166,93,43,0
167,89,40,0
168,85,36,0
169,81,31,0
170,77,25,0
171,73,18,1
172,73,18,0
173,69,27,0
174,65,35,0
175,61,42,0
176,57,48,0
177,53,53,0
178,49,57,0
179,45,60,0
180,41,62,0
181,37,63,0
182,33,63,0
183,29,62,0
184,25,60,0
185,21,57,0
186,17,53,1
187,17,53,0
188,13,62,0
189,9,70,0
190,5,77,0
191,1,83,0
192,141,111,0
193,137,115,0
194,133,118,0
195,129,120,0
196,125,121,0
197,121,121,0
198,117,120,0
199,113,118,0
200,109,115,0
201,105,111,0
202,101,106,0
203,97,100,0
204,93,93,0
205,89,85,0
206,85,76,0
207,81,66,1
208,81,66,0
209,77,75,0
210,73,83,0
211,69,90,0
212,65,96,0
213,61,101,0
214,57,105,0
215,53,108,0
216,49,110,0
217,45,111,0
218,41,111,0
219,37,110,0
220,33,108,0
221,29,105,0
222,25,101,0
223,21,96,0
224,17,90,0
225,13,83,0
226,9,75,0
227,5,66,0
228,1,56,0
229,149,43,1
230,149,43,0
231,145,52,0
232,141,60,0
233,137,67,0
234,133,73,0
235,129,78,0
236,125,82,0
237,121,85,0
238,117,87,0
239,113,88,0
240,109,88,0
241,105,87,0
242,101,85,0
243,97,82,0
244,93,78,0
245,89,73,0
246,85,67,0
247,81,60,0
248,77,52,0
249,73,43,1
250,73,43,0
251,69,52,0
252,65,60,0
253,61,67,0
254,57,73,0
255,53,78,0
256,49,82,0
257,45,85,0
258,41,87,0
259,37,88,0
260,33,88,0
261,29,87,0
262,25,85,0
263,21,82,0
264,17,78,0
265,13,73,0
266,9,67,0
267,5,60,0
268,1,52,1
269,1,52,0
270,141,63,0
271,137,71,0
272,133,78,0
273,129,84,0
274,125,89,0
275,121,93,0
276,117,96,0
277,113,98,0
278,109,99,0
279,105,99,0
280,101,98,0
281,97,96,0
282,93,93,0
283,89,89,0
284,85,84,0
285,81,78,0
286,77,71,0
287,73,63,0
288,69,54,0
289,65,44,1
290,65,44,0
291,61,53,0
292,57,61,0
293,53,68,0
294,49,74,0
295,45,79,0
296,41,83,0
297,37,86,0
298,33,88,0
299,29,89,0
300,25,89,0
301,21,88,0
302,17,86,0
303,13,83,0
304,9,79,0
305,5,74,0
306,1,68,0
307,149,98,0
308,145,90,0
309,141,81,1
310,141,81,0
311,137,90,0
312,133,98,0
313,129,105,0
314,125,111,0
315,121,116,0
316,117,120,0
317,113,123,0
318,109,125,0
319,105,126,0
320,101,126,0
321,97,125,0
322,93,123,0
323,89,120,0
324,85,116,0
325,81,111,0
326,77,105,0
327,73,98,0
328,69,90,0
329,65,81,0
330,61,71,0
331,57,61,0
332,53,51,0
333,49,41,0
334,45,31,1
335,45,31,0
336,41,40,0
337,37,48,0
338,33,55,0
339,29,61,0
340,25,66,0
341,21,70,0
342,17,73,0
343,13,75,0
344,9,76,0
345,5,76,0
346,1,75,0
347,141,98,0
348,137,95,0
349,133,91,0
350,129,86,0
351,125,80,0
352,121,73,0
353,117,65,1
354,117,65,0
355,113,74,0
356,109,82,0
357,105,89,0
358,101,95,0
359,97,100,0
360,93,104,0
361,89,107,0
362,85,109,0
363,81,110,0
364,77,110,0
365,73,109,0
366,69,107,0
367,65,104,0
368,61,100,0
369,57,95,0
370,53,89,0
371,49,82,0
372,45,74,0
373,41,65,0
374,37,55,1
375,37,55,0
376,33,64,0
377,29,72,0
378,25,79,0
379,21,85,0
380,17,90,0
381,13,94,0
382,9,97,0
383,5,99,0
384,1,100,0
385,149,99,0
386,145,98,0
387,141,96,0
388,137,93,0
389,133,89,0
390,129,84,0
391,125,78,0
392,121,71,0
393,117,63,0
394,113,54,1
395,113,54,0
396,109,63,0
397,105,71,0
398,101,78,0
399,97,84,0
400,93,89,0
401,89,93,0
402,85,96,0
403,81,98,0
404,77,99,0
405,73,99,0
406,69,98,0
407,65,96,0
408,61,93,0
409,57,89,0
410,53,84,0
411,49,78,0
412,45,71,0
413,41,63,0
414,37,54,1
415,37,54,0
416,33,63,0
417,29,71,0
418,25,78,0
419,21,84,0
420,17,89,0
421,13,93,0
422,9,96,0
423,5,98,0
424,1,99,0
425,141,77,0
426,137,76,0
427,133,74,0
428,129,71,0
429,125,67,0
430,121,62,0
431,117,56,0
432,113,49,0
433,109,41,0
434,105,32,0
435,101,22,1
436,101,22,0
437,97,31,0
438,93,39,0
439,89,46,0
440,85,52,0
441,81,57,0
442,77,61,0
443,73,64,0
444,69,66,0
445,65,67,0
446,61,67,0
447,57,66,0
448,53,64,0
449,49,61,0
450,45,57,0
451,41,52,0
452,37,46,0
453,33,39,1
454,33,39,0
455,29,48,0
456,25,56,0
457,21,63,0
458,17,69,0
459,13,74,0
460,9,78,0
461,5,81,0
462,1,83,0
463,149,82,0
464,145,82,0
465,141,81,0
466,137,79,0
467,133,76,0
468,129,72,0
469,125,67,0
470,121,61,0
471,117,54,0
472,113,46,1
473,113,46,0
474,109,55,0
475,105,63,0
476,101,70,0
477,97,76,0
478,93,81,0
479,89,85,0
480,85,88,0
481,81,90,0
482,77,91,0
483,73,91,0
484,69,90,0
485,65,88,0
486,61,85,0
487,57,81,0
488,53,76,0
489,49,70,0
490,45,63,0
491,41,55,0
492,37,46,0
493,33,36,1
494,33,36,0
495,29,45,0
496,25,53,0
497,21,60,0
498,17,66,0
499,13,71,0
500,9,75,0
501,5,78,0
502,1,80,0
503,141,40,0
504,137,40,0
505,133,39,0
506,129,37,0
507,125,34,0
508,121,30,0
509,117,25,0
510,113,19,0
511,109,12,0
512,105,4,0
513,101,-5,0
514,97,-15,1
515,97,-15,0
516,93,-6,0
517,89,2,0
518,85,9,0
519,81,15,0
520,77,20,0
521,73,24,0
522,69,27,0
523,65,29,0
524,61,30,0
525,57,30,0
526,53,29,0
527,49,27,0
528,45,24,1
529,45,24,0
530,41,33,0
531,37,41,0
532,33,48,0
533,29,54,0
534,25,59,0
535,21,63,0
536,17,66,0
537,13,68,0
538,9,69,0
539,5,69,0
540,1,68,0
541,149,39,0
542,145,36,0
543,141,32,0
544,137,27,0
545,133,21,1
546,133,21,0
547,129,30,0
548,125,38,0
549,121,45,0
550,117,51,0
551,113,56,0
552,109,60,0
553,105,63,0
554,101,65,0
555,97,66,0
556,93,66,0
557,89,65,0
558,85,63,0
559,81,60,0
560,77,56,0
561,73,51,0
562,69,45,0
563,65,38,0
564,61,30,1
565,61,30,0
566,57,39,0
567,53,47,0
568,49,54,0
569,45,60,0
570,41,65,0
571,37,69,0
572,33,72,0
573,29,74,0
574,25,75,0
575,21,75,0
576,17,74,0
577,13,72,0
578,9,69,0
