X,Y,click
431.0,61.0,0.0
427.0,69.0,0.0
423.0,76.0,0.0
419.0,82.0,0.0
415.0,87.0,0.0
411.0,91.0,0.0
407.0,94.0,0.0
403.0,96.0,0.0
399.0,97.0,0.0
395.0,97.0,0.0
391.0,96.0,0.0
387.0,94.0,0.0
383.0,91.0,0.0
379.0,87.0,0.0
375.0,82.0,0.0
371.0,76.0,0.0
367.0,69.0,0.0
363.0,61.0,0.0
359.0,52.0,0.0
355.0,42.0,0.0
351.0,32.0,1.0
351.0,32.0,0.0
347.0,41.0,0.0
343.0,49.0,0.0
339.0,56.0,0.0
335.0,62.0,0.0
331.0,67.0,0.0
327.0,71.0,0.0
323.0,74.0,0.0
319.0,76.0,0.0
315.0,77.0,0.0
311.0,77.0,0.0
307.0,76.0,0.0
303.0,74.0,0.0
299.0,71.0,0.0
295.0,67.0,0.0
291.0,62.0,0.0
287.0,56.0,0.0
283.0,49.0,0.0
279.0,41.0,1.0
279.0,41.0,0.0
275.0,50.0,0.0
271.0,58.0,0.0
267.0,65.0,0.0
263.0,71.0,0.0
259.0,76.0,0.0
255.0,80.0,0.0
251.0,83.0,0.0
247.0,85.0,0.0
243.0,86.0,0.0
239.0,86.0,0.0
235.0,85.0,0.0
231.0,83.0,0.0
227.0,80.0,0.0
223.0,76.0,0.0
219.0,71.0,0.0
215.0,65.0,0.0
211.0,58.0,0.0
207.0,50.0,0.0
203.0,41.0,1.0
203.0,41.0,0.0
199.0,50.0,0.0
195.0,58.0,0.0
191.0,65.0,0.0
187.0,71.0,0.0
183.0,76.0,0.0
179.0,80.0,0.0
175.0,83.0,0.0
171.0,85.0,0.0
167.0,86.0,0.0
163.0,86.0,0.0
159.0,85.0,0.0
155.0,83.0,0.0
151.0,80.0,0.0
147.0,76.0,0.0
143.0,71.0,0.0
139.0,65.0,0.0
135.0,58.0,0.0
131.0,50.0,0.0
127.0,41.0,1.0
127.0,41.0,0.0
123.0,50.0,0.0
119.0,58.0,0.0
115.0,65.0,0.0
111.0,71.0,0.0
107.0,76.0,0.0
103.0,80.0,0.0
99.0,83.0,0.0
95.0,85.0,0.0
91.0,86.0,0.0
87.0,86.0,0.0
83.0,85.0,0.0
79.0,83.0,0.0
75.0,80.0,0.0
71.0,76.0,0.0
67.0,71.0,0.0
63.0,65.0,0.0
59.0,58.0,0.0
55.0,50.0,0.0
51.0,41.0,1.0
51.0,41.0,0.0
47.0,50.0,0.0
43.0,58.0,0.0
39.0,65.0,0.0
35.0,71.0,0.0
31.0,76.0,0.0
27.0,80.0,0.0
23.0,83.0,0.0
19.0,85.0,0.0
15.0,86.0,0.0
11.0,86.0,0.0
7.0,85.0,0.0
3.0,83.0,0.0
143.0,19.0,0.0
139.0,15.0,0.0
135.0,10.0,0.0
131.0,4.0,0.0
127.0,-3.0,0.0
123.0,-11.0,1.0
123.0,-11.0,0.0
119.0,-2.0,0.0
115.0,6.0,0.0
111.0,13.0,0.0
107.0,19.0,0.0
103.0,24.0,0.0
99.0,28.0,0.0
95.0,31.0,0.0
91.0,33.0,0.0
87.0,34.0,0.0
83.0,34.0,0.0
79.0,33.0,0.0
75.0,31.0,0.0
71.0,28.0,0.0
67.0,24.0,1.0
67.0,24.0,0.0
63.0,33.0,0.0
59.0,41.0,0.0
55.0,48.0,0.0
51.0,54.0,0.0
47.0,59.0,0.0
43.0,63.0,0.0
39.0,66.0,0.0
35.0,68.0,0.0
31.0,69.0,0.0
27.0,69.0,0.0
23.0,68.0,0.0
19.0,66.0,1.0
19.0,66.0,0.0
15.0,75.0,0.0
11.0,83.0,0.0
7.0,90.0,0.0
3.0,96.0,0.0
149.0,82.0,0.0
145.0,86.0,0.0
141.0,89.0,0.0
137.0,91.0,0.0
133.0,92.0,0.0
129.0,92.0,0.0
125.0,91.0,0.0
121.0,89.0,0.0
